i_episode,cumulated_reward,epsilon,error_dist
0,17.704576626054685,0.9,0.019451915428362027
1,-8.742453913465633,0.8999974500038251,1.2348394198490702
2,-8.900205259068874,0.899992350034425,1.206877567890293
3,-8.716375242460128,0.8999847001376993,1.185460523608992
4,-8.587393961800588,0.8999745003824965,1.1293854890468986
5,-8.522092372504211,0.8999575010624825,1.1398048903061537
6,-7.335812542882184,0.8999320027199277,1.1570567806959842
7,-7.6847641009309395,0.8999082049570218,1.220378616754378
8,-4.931458924831063,0.8998674103422626,0.8604190677992669
9,-8.65352401456088,0.8998444642319572,1.1847784668422607
10,-8.391724834092184,0.8998104711332544,1.1785398368914648
11,-8.698798569830753,0.8997824278504236,1.207005890727405
12,-7.552209928832712,0.8997416392728205,1.1314785357126367
13,22.398872324480585,0.8996311800397204,0.06436867008199065
14,17.125363733104557,0.8995360266762438,0.12053991993352085
15,-8.68967748451111,0.8994977984151858,1.2469933499660504
16,-8.750452843604064,0.8994570234994675,1.1707374827690038
17,-8.684587849160053,0.8994137022959691,1.238191142883139
18,-8.750995379677596,0.899367835194468,1.1954353855841529
19,-8.682347522642115,0.8993194226076336,1.237858168955748
20,-8.660209890307993,0.8992684649710215,1.2459058121159734
21,-8.65151616933111,0.8992149627430663,1.1753842394630878
22,-10,0.8991962802193945,1.5
23,19.795520502603765,0.8990400424781471,0.09910113747158253
24,-9.361639850196315,0.8989789137957477,1.2025754977543637
25,19.61451566456467,0.898787915028311,0.05002828305609319
26,-8.704449327040571,0.8987217121528847,1.225103948456308
27,-8.63915112916687,0.8986529684783569,1.1292189591151016
28,-8.721917116228354,0.8985816846229684,1.208207687906662
29,-8.657694020630233,0.8985078612277705,1.2154076732207881
30,-8.661608579686712,0.8984314989566138,1.2002036293447471
31,-7.573823562424474,0.898326299973215,1.1405965989859417
32,-8.847053185599057,0.8982448645573801,1.2377247104660158
33,-8.581722236458804,0.8981608924724758,1.1495441243405442
34,-7.7820715804129,0.8980455504345359,1.2010220833738154
35,-8.631481584126298,0.8979565103264278,1.1550471294866407
36,-8.645117859750403,0.8978649359684167,1.2051252014377152
37,-8.66210281951549,0.8977708281836027,1.181591414584932
38,-8.617272289653286,0.8976741878177952,1.1718389290511193
39,-8.681234480871547,0.8975750157395002,1.1505536308615834
40,-8.597057485997347,0.8974733128399075,1.170230401448798
41,-8.306925098345522,0.8973343386127998,1.1859803704737257
42,-8.737102751314994,0.8972275812119919,1.2243732046078863
43,-8.73738949612021,0.8971182959030694,1.1653183310676731
44,-8.606519921629335,0.8970064836677799,1.1457437010524367
45,-8.673507249398064,0.8968921455104839,1.2149706759587542
46,-7.517415130298359,0.8966973827155965,1.2174774216675353
47,-8.607760426948609,0.8965780068008333,1.1192030063288105
48,-8.57264913497416,0.8964561083447534,1.1543451877099336
49,-7.631407748157791,0.8962902192051847,1.2125966116763587
50,-8.661170276412504,0.8961632851925927,1.2071171943243568
51,-7.69490227397122,0.8959906854881821,1.2190172066000236
52,-7.348685643648853,0.8957707565019625,1.2041168637205615
53,-8.69834346361784,0.8956362896420773,1.1897129332764222
54,-8.68313840825438,0.8954993076589954,1.2028693582548695
55,-8.557882464259091,0.8953598117819579,1.1317634301889559
56,-8.418614155457039,0.8951704723909222,1.2296771019711157
57,-8.677889634898888,0.895025960596254,1.2171355396905703
58,-8.690489790993079,0.8948789388703714,1.2188435576499324
59,18.67440580818083,0.894480250109174,0.07920961102615619
60,-10,0.8944295828142015,1.5
61,-7.565178352063011,0.8942235671309301,1.1047544345617177
62,-8.759773030918216,0.8940665561499176,1.2210066658506245
63,-8.721254658964243,0.8939070426453063,1.1519880032991274
64,-8.666989686868858,0.8937450280470175,1.1934144556263195
65,-8.673401870373423,0.8935805138072079,1.1881450023452107
66,-7.660165392826178,0.8933578379460696,1.2495787759902546
67,-7.353079502517073,0.8930753603879906,1.1861064782508366
68,-8.572801955110085,0.8929033905559907,1.1440765277968503
69,-8.653661884654447,0.8927289276116834,1.1925261714825979
70,-8.65658380027666,0.892551973117757,1.2057388611131101
71,-7.663701317025554,0.8923127223326113,1.1684630070127797
72,-8.683678478878766,0.8921308024326441,1.1984553007022358
73,-8.706216184759008,0.8919463959801548,1.2362511196444568
74,-8.833689692787033,0.891759504625955,1.1898507909751568
75,-8.612418570465588,0.8915701300428537,1.1255377797436155
76,-7.745874003972618,0.891314331606653,1.2035652653832574
77,-7.6568120029492786,0.891055246693643,1.1914901290303956
78,-8.635171673937478,0.8908584627905314,1.17454395380377
79,-8.680257731923056,0.8906592029480742,1.2244874472460057
80,20.6523381459713,0.8900541461685308,0.02709159484079122
81,-10,0.8899861045384144,1.5
82,-10,0.8899172285017983,1.5
83,-8.400868244261343,0.8896384222663317,1.1826999149663953
84,-8.69926287262983,0.8894268600418805,1.2634141884988017
85,-8.559425180155326,0.889212833482116,1.1578777135429426
86,-8.414840126727597,0.8889241939162498,1.209394387655845
87,-8.663473142982783,0.8887052632733294,1.2033065975183963
88,-8.742635955146227,0.8884838743084543,1.2388039010998257
89,-8.685890412957088,0.8882600289986924,1.2492092767283098
90,-8.810608259129067,0.888033729342691,1.242545377137861
91,-8.96276468108985,0.8878049773606468,1.1930261169664076
92,-7.604387670264888,0.8874967218514705,1.1361634323944998
93,-8.370874521601456,0.8871852310118301,1.2143397386558967
94,-8.694816209403221,0.886949178061715,1.1846778842170549
95,-8.63657780462595,0.886710681533337,1.182631386873806
96,-8.672426825045186,0.8864697435537899,1.1682787994111
97,-7.41429585337584,0.8860641540915615,1.231518964218843
98,-8.754316299550805,0.8858183873597384,1.2022007104369303
99,-0.4232079081873863,0.8850740048482556,0.011538448409631882
100,-8.606814079435198,0.8848235202213738,1.1729754601781313
101,-8.752149201320888,0.8845706070130326,1.2335072171205528
102,-8.163393499813532,0.884230171658906,1.1450499157831497
103,-8.698329736824304,0.8839724343583273,1.2390106237738048
104,-8.64132230779311,0.8837122755456928,1.186748673741129
105,-8.64632773968756,0.8834496975371033,1.271486741502272
106,-6.884593898030046,0.8830080862347413,0.5395473153851891
107,-8.162838600399024,0.8826516350598256,1.1246097597615268
108,-8.865436642338757,0.8823818996295656,1.1936758167986203
109,-8.179071530425489,0.8820190602260647,1.1607335368684828
110,-8.940057076551174,0.881744539234645,1.1590270772286522
111,-8.643833300255393,0.8814676144136216,1.1748284291687472
112,-8.832119270006494,0.8811882882246064,1.2249707731862913
113,-8.701918597429986,0.8809065631499964,1.1982474798101976
114,-8.69923536045411,0.8806224416929375,1.2125900562351357
115,-8.696660870528945,0.8803359263772873,1.201133557437201
116,-8.589781367352884,0.8800470197475772,1.1445969613787583
117,19.431978172656798,0.8791734402561043,0.02557299625384867
118,-8.327318871879044,0.878782162741061,1.2062409505930507
119,0.97784682957281,0.8777964985539065,0.17095826591805555
120,-8.743361740480937,0.8774985454492038,1.27752439390964
121,-8.783387906425917,0.8771982179899374,1.2371199739238634
122,-8.661439640714104,0.8768955188394767,1.2024902616910518
123,-8.666027000589379,0.8765904506815616,1.2634519526718064
124,-7.652171133116809,0.8761805634784532,1.2583431671367578
125,-8.739043451799546,0.875870803850709,1.2275619368955653
126,-8.759893148014262,0.8755586836812819,1.2429550391856947
127,18.611396082391643,0.8747203420083467,0.02926629957141736
128,-8.67449409939773,0.8744037101942146,1.1884478645790375
129,-8.687772599162736,0.874084727685466,1.2294312674333456
130,-8.246950996256482,0.873656315024015,1.159825531017868
131,-8.675099010243134,0.8733326816903259,1.2031400215520005
132,-8.594012427516995,0.8730067064957248,1.1712238937560295
133,-8.644657206420975,0.8726783923228663,1.2035198373833915
134,-8.649685655657176,0.8723477420743054,1.1944147485041023
135,-8.687356268016243,0.8720147586724558,1.196043615433819
136,-8.730440921300056,0.871679445059546,1.150350912398175
137,-8.340768560806882,0.8712292880779317,1.1739696868473575
138,-8.654276053727012,0.8708893695206639,1.1902991005242358
139,-8.733082104493821,0.8705471300154698,1.1953940379258376
140,-8.570169312130894,0.8702025725829892,1.137215291581776
141,-8.51199304204822,0.8697401087591098,1.1914576535894394
142,-8.802297246816766,0.8693909738437952,1.1912811501328946
143,-7.747218339851997,0.8689224162270103,1.2463585660795584
144,-8.477938316360767,0.8684508527385861,1.21310931186003
145,-8.662361548169807,0.8680949040420991,1.1735031678586045
146,-9.129725442024224,0.8677366569359722,1.1722103138303952
147,-8.398506434027002,0.867255969117762,1.1670357231301383
148,-7.5130873952661155,0.8667722967651865,1.1719427591911173
149,-8.682030509413169,0.8664072811356035,1.1925609223875684
150,-8.575069095626386,0.8660399805079319,1.1790597132702703
151,-10,0.8659167677736708,1.5
152,-8.691307516208681,0.8655447945439079,1.2315738040757154
153,-8.821743103570798,0.865170545379966,1.2080674004160847
154,-8.659758806245916,0.8647940235712354,1.1952813496002364
155,-8.610217080771063,0.8644152324260412,1.1244929669807258
156,-8.734600347344944,0.8640341752715951,1.165844026141611
157,-7.6795947333851835,0.8635231222969547,1.2005909352522481
158,-8.64036799484215,0.8631376037121087,1.1680082794892177
159,-8.312384523205136,0.8626206126167427,1.115542385138872
160,-8.515182124131075,0.8621007018138711,1.193081647301389
161,-8.702828735339716,0.8617085518867261,1.2262261306397695
162,-7.617349584124912,0.8611827351281325,1.1576558231693146
163,-8.600753749427792,0.8607861637402617,1.117111934079244
164,-8.55879126449551,0.8603873550626812,1.1925422367772147
165,-8.70210133549258,0.8599863125881262,1.225132235838118
166,-8.599259860640327,0.8595830398277091,1.186141466463925
167,-8.706247327104995,0.8591775403108661,1.1920485343782639
168,-8.811985878599017,0.8587698175853071,1.1739847639060712
169,-8.7281109476548,0.858359875216963,1.19813254311762
170,-8.660850375830636,0.8579477167899346,1.184764145037797
171,-8.543425502262028,0.8575333459064404,1.1554088010252346
172,-8.68079699429584,0.8571167661867632,1.217157387752249
173,-8.66656024595064,0.8566979812691989,1.2058314210307144
174,-8.643308333037732,0.8562769948100015,1.2197478412057314
175,-7.763196150739433,0.8557127984054141,1.272919999421006
176,-8.66354249887924,0.8552874943380105,1.1534594604848194
177,-8.611447968204736,0.8548600001882584,1.151696831519535
178,-8.66168797225391,0.8544303196830633,1.2111107143351665
179,-7.745042317385318,0.8538545537229816,1.229009463455309
180,-7.642377017359112,0.8532759867534042,1.1551775266601019
181,-8.671492940170847,0.8528399262937263,1.1909799651054622
182,-8.336817335423941,0.8522556715219254,1.2076245181429766
183,-8.587764863191222,0.8516686352518587,1.2462400682378605
184,-8.556249727090124,0.8512262362785495,1.1681656111650829
185,-7.64464229489512,0.8506335481853443,1.216474005635382
186,-8.353761938461435,0.8500380983602961,1.1608467454429787
187,-8.586294269541714,0.8495894028579722,1.176325244060732
188,-7.560140857196627,0.8489883376558642,1.1382577065043404
189,-8.675374854347822,0.848535439677124,1.1824554484402992
190,-8.703969953527317,0.8480804041739466,1.2031829835735202
191,-8.702499190376637,0.847623235093805,1.1980073595281602
192,-10,0.8474701061335176,0.8592975104266806
193,-8.682485077129545,0.8470085045886093,1.1562967775991078
194,-8.18792083969942,0.8463902658966852,1.1623526973067198
195,-8.658468104446703,0.8459245138368959,1.2045756708210449
196,-8.207299032777296,0.8453007535640245,1.1690746297626624
197,-10,0.8451440947469725,1.310195225117817
198,-8.608533415733572,0.8446719194046528,1.151611987645333
199,-7.741338948450062,0.8440396122484416,1.1898057549267973
200,-7.58424813187038,0.8434046345835744,1.184239684589636
201,-8.393518542872151,0.8427669936233837,1.2166538472971193
202,-0.49494010889366,0.8411672206109835,0.10014177963180529
203,-8.613477532511139,0.8406855464582978,1.134506103391776
204,-8.561744191086392,0.8402017949469268,1.158064061818674
205,-8.715501639360335,0.8397159702494416,1.2106685781846873
206,-7.56720445527943,0.8390655123154288,1.1511665133720135
207,18.496830118207534,0.8377599011714301,0.12501340813526793
208,-8.741531378650516,0.8372684923286033,1.1566916615135934
209,-8.749571123181138,0.8367750297006133,1.2272385137905062
210,-8.576777440854393,0.8362795175346233,1.120584356500849
211,-7.700659429931639,0.835616177590657,1.151052090053729
212,-8.68809531594388,0.835116684557331,1.1670968681218106
213,-8.574767165905554,0.8346151552515774,1.1456733968238968
214,-8.22687739597972,0.8339438120545634,1.138716795013073
215,-8.911759137791613,0.833438331330846,1.2225557127970228
216,18.673009408941468,0.83208571888803,0.02532497391360602
217,-8.60481934698198,0.8315767467734324,1.171722372620149
218,18.03904842199649,0.8302148648332958,0.10736329710544694
219,-7.689154033369547,0.8295316958833893,1.2177634998507663
220,-8.720542457978716,0.8290173747087637,1.1509446012026305
221,-8.658998441567384,0.8285010573674435,1.1806518535967332
222,-7.5781332036464,0.8278100552788357,1.1169027301334784
223,-8.582813130665954,0.8272898743717687,1.187812687845742
224,-8.658829026822817,0.8267677110427194,1.2025978974273441
225,-8.708356320195403,0.826243569755351,1.2295980114186746
226,-8.675215051126216,0.8257174549881167,1.1686222254756653
227,19.500113880404495,0.8241342819894543,0.06578476692046363
228,-8.988915987707994,0.8236049551909759,1.1864051476453148
229,-8.68447024164411,0.8230736711037395,1.1776503946151604
230,-7.649511239170595,0.8223627703907944,1.2021256477066324
231,-7.613526527498454,0.8216494368018237,1.1708950308039168
232,-7.7060607323687424,0.8209336782877888,1.2113450746547947
233,0.7089051298358786,0.819318724235544,0.22351287345174417
234,-8.663851474470624,0.8187788520084531,1.1684775026020033
235,-8.676160763877288,0.8182370539240525,1.1796132302117173
236,-8.649975772641604,0.8176933345892311,1.1648185796308215
237,-8.681587188953607,0.8171476986249093,1.170231434544782
238,-10,0.8169651391980701,1.5
239,-8.697088463788818,0.8164154222903267,1.2021515794871829
240,-8.66350129313416,0.8158638017934864,1.165846793700371
241,-8.77791765035638,0.8153102823861673,1.1692748658996275
242,-8.55825925605965,0.8147548687606964,1.1739481592861039
243,18.97057350817024,0.8130841774295925,0.06754971718259069
